height,weight
2.07,46.45
1.63,77.25
1.64,43.39
1.54,49.45
1.92,69.67
1.29,81.89
2.1,64.43
1.6,52.75
1.81,76.92
1.7,70.72
2.04,65.83
1.34,37.21
1.69,62.08
1.67,48.23
1.98,36.78
1.53,55.82
1.72,89.21
1.57,72.59
1.76,60.93
1.87,61.2
1.53,59.6
1.98,66.3
1.93,56.32
1.85,44.36
1.93,50.98
1.61,69.76
1.73,67.56
1.56,44.23
1.7,58.51
1.86,69.23
1.61,48.37
1.67,84.82
1.61,46.95
1.58,54.85
1.62,85.55
1.75,54.2
1.53,38.15
1.8,48.16
2.08,49.73
1.9,73.9
1.71,64.65
1.57,58.14
1.6,59.21
2.09,62.93
1.76,80.31
1.62,54.53
1.79,48.59
2.17,56.05
1.77,54.41
1.87,64.93
1.81,54.61
1.68,55.53
1.52,49.7
1.68,49.15
1.71,53.14
1.87,64.34
1.92,69.88
1.94,64.24
1.81,38.38
1.93,77.8
1.6,103.14
2.0,55.91
1.85,44.68
1.69,63.76
1.85,77.81
1.73,53.2
1.98,71.03
2.05,60.8
2.19,79.97
1.47,68.46
1.46,65.9
1.65,36.63
1.78,54.38
1.93,65.63
1.81,94.26
1.35,72.68
1.69,67.74
1.92,43.35
1.8,57.29
1.9,29.72
1.71,37.17
1.71,44.57
1.79,47.58
1.83,52.9
1.79,43.41
1.77,61.69
1.62,42.0
1.83,70.6
1.77,47.96
1.98,57.37
1.99,55.96
1.79,47.01
1.67,68.08
1.62,48.45
1.83,65.89
1.77,51.59
1.68,60.2
1.76,51.65
1.63,84.84
1.89,73.75
1.66,101.28
1.99,39.7
1.83,86.84
1.87,66.47
1.53,69.66
1.78,60.49
1.9,61.4
1.56,55.78
1.7,74.47
1.76,60.1
1.48,72.37
1.81,65.22
1.92,88.98
1.58,65.8
1.82,78.45
1.49,55.47
1.74,50.07
1.43,65.16
1.97,58.61
1.83,58.52
1.75,55.68
1.59,53.79
2.0,87.45
2.14,48.14
1.38,64.12
2.0,28.92
2.08,72.94
1.82,68.04
1.51,75.43
1.92,50.39
1.71,36.97
1.63,55.44
1.5,96.36
1.86,58.48
1.91,65.77
1.63,56.08
1.85,73.32
1.52,45.47
1.91,61.88
1.76,64.27
1.71,79.46
1.73,85.95
1.92,26.7
1.9,56.74
1.86,37.49
1.78,49.32
1.77,70.33
1.87,77.65
1.8,78.88
1.89,32.11
1.69,40.16
1.26,41.02
1.96,48.57
2.19,59.88
1.84,67.39
1.73,59.5
1.72,54.27
1.73,79.0
1.75,45.67
1.53,56.13
1.65,42.44
1.55,52.13
1.8,69.68
1.69,32.69
1.85,50.34
1.72,51.1
1.95,53.92
1.79,60.19
2.19,53.02
1.37,50.56
1.62,58.85
1.93,57.8
2.26,36.25
1.7,33.63
1.76,51.73
1.7,70.82
2.02,57.37
1.69,49.12
1.89,74.39
1.69,20.94
1.5,71.51
1.81,70.43
1.85,75.53
2.01,59.11
1.73,57.0
1.63,50.62
1.86,80.93
1.8,46.63
1.81,67.52
1.74,71.46
1.98,63.79
1.82,46.72
2.13,97.55
1.97,63.72
1.88,58.25
1.42,52.2
1.87,48.25
1.83,74.28
1.91,83.47
1.96,81.05
1.67,57.82
1.91,35.44
1.64,52.0
2.14,67.92
1.48,62.61
1.4,54.73
1.42,43.56
1.57,53.9
1.53,74.41
2.14,46.51
1.68,53.68
1.48,70.53
1.97,44.78
1.63,34.05
1.5,68.33
1.93,70.82
1.87,63.51
1.66,38.67
2.03,58.44
1.78,83.97
2.07,38.77
1.85,64.48
2.06,51.85
1.77,63.47
1.51,42.13
2.24,35.06
1.64,68.55
1.71,62.32
1.61,63.82
1.71,38.05
1.8,66.8
1.79,79.34
1.88,52.21
2.11,65.37
1.73,52.81
1.5,73.68
1.51,47.92
1.62,58.44
1.42,73.17
1.92,67.25
1.65,46.08
1.69,59.74
1.75,95.91
1.47,58.84
1.58,94.34
1.88,54.26
1.87,51.41
1.66,65.22
2.11,78.02
1.49,46.41
1.68,56.23
1.7,87.81
1.19,56.61
2.14,78.47
1.82,91.38
1.54,30.48
2.16,61.69
1.87,24.67
1.84,33.05
1.63,56.84
1.77,79.17
1.44,50.99
1.91,82.67
1.68,59.19
1.78,64.63
1.99,60.17
1.81,77.6
1.8,59.11
1.81,79.34
1.6,47.33
1.92,47.42
2.06,57.71
1.9,43.21
1.93,43.41
1.57,69.08
1.58,63.49
1.46,44.87
2.0,78.11
1.7,51.83
2.03,64.06
1.59,42.64
1.66,53.22
1.77,76.29
1.93,79.33
1.76,44.15
1.79,52.88
1.75,53.37
1.79,51.25
1.53,72.63
1.77,54.61
1.71,80.06
1.74,35.81
1.85,67.49
1.61,75.01
1.73,48.11
1.69,55.62
1.83,43.19
1.91,48.58
1.56,45.09
1.87,76.39
2.16,47.54
1.46,86.25
1.58,77.89
1.57,51.1
1.69,57.57
2.07,40.29
1.75,34.11
1.61,72.56
1.87,67.46
1.63,63.85
1.97,81.75
1.81,60.97
2.03,58.42
1.62,60.84
2.36,78.09
1.91,40.68
1.88,57.52
1.74,89.86
1.6,62.57
1.58,52.46
1.72,87.09
1.59,60.8
1.81,77.14
1.58,54.83
1.87,72.02
1.94,54.13
1.61,68.14
1.99,74.47
1.7,42.04
1.98,50.33
1.84,67.41
1.97,70.24
1.55,54.89
1.73,73.47
2.04,85.73
1.63,54.67
1.34,46.52
1.36,66.28
1.25,59.24
1.33,63.4
1.67,77.3
2.01,55.82
1.66,74.51
1.81,74.85
1.73,51.65
1.75,35.83
1.72,34.17
1.72,81.44
1.84,107.3
1.51,67.28
1.95,68.64
1.93,72.31
1.71,56.52
1.91,61.64
1.61,50.41
1.64,68.56
1.78,71.9
1.71,70.7
1.66,43.67
1.62,80.3
1.64,70.05
1.94,60.31
1.36,62.25
1.82,42.65
1.7,59.21
1.9,59.63
1.85,79.17
1.19,61.16
1.87,58.43
1.81,61.06
1.75,61.08
1.66,51.28
1.92,66.83
1.67,49.05
2.12,54.7
1.86,36.69
2.18,64.89
1.59,61.48
1.4,45.23
1.89,53.66
1.92,77.74
1.76,56.28
1.44,35.37
1.66,84.86
1.87,80.12
1.71,58.98
1.73,52.81
1.71,46.29
1.56,58.53
1.64,59.0
1.46,38.15
2.1,62.2
1.65,63.26
1.85,73.62
1.55,60.53
1.91,28.9
1.38,54.54
1.93,39.19
1.74,61.47
2.17,54.13
1.49,67.56
1.77,70.31
1.82,61.89
2.0,36.87
1.67,74.7
1.77,37.19
1.32,55.55
1.58,38.98
1.84,57.78
1.97,82.24
1.69,71.57
2.16,65.39
2.1,55.59
1.74,67.39
1.27,34.14
1.39,41.15
1.59,71.66
1.97,53.88
1.81,79.55
1.33,40.4
1.7,81.1
2.07,64.75
1.68,70.66
1.6,65.28
2.16,105.51
1.76,43.84
1.65,48.74
1.82,49.61
1.75,86.03
1.66,67.59
1.99,60.93
1.97,35.18
1.92,73.65
1.73,74.66
1.98,88.04
1.74,56.06
1.84,48.4
1.96,61.99
1.91,56.05
2.11,42.76
1.84,77.18
1.41,89.93
1.52,72.07
2.02,56.67
1.68,49.4
1.83,65.32
1.58,43.69
1.95,70.32
1.67,56.79
2.04,49.89
1.64,65.45
1.97,59.82
1.88,54.32
1.61,70.54
1.97,51.05
1.57,45.6
1.59,35.25
1.89,102.65
1.62,44.14
1.63,66.63
1.68,78.36
1.55,32.83
